timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1524518788217,34,HTTP Request,200,OK,Thread Group 1-1,text,true,,3339,218,1,1,34,0,2
1524518788344,25,HTTP Request,200,OK,Thread Group 1-2,text,true,,3339,218,1,1,25,0,0
1524518788469,27,HTTP Request,200,OK,Thread Group 1-3,text,true,,3339,218,1,1,27,0,1
1524518788592,26,HTTP Request,200,OK,Thread Group 1-4,text,true,,3339,218,1,1,26,0,1
1524518788722,26,HTTP Request,200,OK,Thread Group 1-5,text,true,,3339,218,1,1,26,0,0
1524518788844,31,HTTP Request,200,OK,Thread Group 1-6,text,true,,3339,218,1,1,31,0,1
1524518788970,26,HTTP Request,200,OK,Thread Group 1-7,text,true,,3339,218,1,1,26,0,0
1524518789097,26,HTTP Request,200,OK,Thread Group 1-8,text,true,,3339,218,1,1,26,0,1
1524518789219,24,HTTP Request,200,OK,Thread Group 1-9,text,true,,3339,218,1,1,24,0,1
1524518789343,28,HTTP Request,200,OK,Thread Group 1-10,text,true,,3339,218,1,1,28,0,1
1524518789472,24,HTTP Request,200,OK,Thread Group 1-11,text,true,,3339,218,1,1,24,0,1
1524518789598,23,HTTP Request,200,OK,Thread Group 1-12,text,true,,3339,218,1,1,23,0,1
1524518789724,24,HTTP Request,200,OK,Thread Group 1-13,text,true,,3339,218,1,1,24,0,1
1524518789847,23,HTTP Request,200,OK,Thread Group 1-14,text,true,,3339,218,1,1,23,0,0
1524518789970,25,HTTP Request,200,OK,Thread Group 1-15,text,true,,3339,218,1,1,25,0,0
1524518790096,26,HTTP Request,200,OK,Thread Group 1-16,text,true,,3339,218,1,1,26,0,1
1524518790220,29,HTTP Request,200,OK,Thread Group 1-17,text,true,,3339,218,1,1,27,0,1
1524518790346,30,HTTP Request,200,OK,Thread Group 1-18,text,true,,3339,218,1,1,29,0,0
1524518790475,26,HTTP Request,200,OK,Thread Group 1-19,text,true,,3339,218,1,1,26,0,0
1524518790596,27,HTTP Request,200,OK,Thread Group 1-20,text,true,,3339,218,1,1,27,0,1
1524518790723,28,HTTP Request,200,OK,Thread Group 1-21,text,true,,3339,218,1,1,28,0,1
1524518790850,27,HTTP Request,200,OK,Thread Group 1-22,text,true,,3339,218,1,1,27,0,1
1524518790971,28,HTTP Request,200,OK,Thread Group 1-23,text,true,,3339,218,1,1,28,0,1
1524518791100,28,HTTP Request,200,OK,Thread Group 1-24,text,true,,3339,218,1,1,28,0,1
1524518791222,29,HTTP Request,200,OK,Thread Group 1-25,text,true,,3339,218,1,1,29,0,1
1524518791346,35,HTTP Request,200,OK,Thread Group 1-26,text,true,,3339,218,1,1,35,0,1
1524518791472,37,HTTP Request,200,OK,Thread Group 1-27,text,true,,3339,218,1,1,37,0,1
1524518791599,27,HTTP Request,200,OK,Thread Group 1-28,text,true,,3339,218,1,1,27,0,1
1524518791726,29,HTTP Request,200,OK,Thread Group 1-29,text,true,,3339,218,1,1,29,0,1
1524518791852,26,HTTP Request,200,OK,Thread Group 1-30,text,true,,3339,218,1,1,26,0,1
